categorymap_id,category_id
4162024,4085091
4162025,235534
4162026,4135923
4162027,1421739
4162028,4649060
4162029,1858817
4162030,3767409
4162031,1586135
4162032,3589047
4162033,2880519
4162034,1373415
4162035,1605516
4162036,2167184
4162037,1878101
4162038,2050292
4162039,1007591
4162040,3321770
4162041,1665992
4162042,4283654
4162043,4901652
4162044,1254966
4162045,1369227
4162046,3964605
4162047,2340518
4162048,2096639
4162049,1824155
4162050,1013319
4162051,2508553
4162052,3497230
4162053,3903617
4162054,2495340
4162055,28447
4162056,4472847
4162057,1729145
4162058,550660
4162059,2677060
4162060,1482769
4162061,2381796
4162062,3289012
4162063,4368448
4162064,3515756
4162065,551542
4162066,4569236
4162067,3008185
4162068,1670027
4162069,292651
4162070,3442460
4162071,2801637
4162072,387677
4162073,4760363
4162074,1817004
4162075,4035478
4162076,1494177
4162077,122751
4162078,3791831
4162079,633394
4162080,4417552
4162081,200533
4162082,3675206
4162083,4405074
4162084,121736
4162085,658007
4162086,2903469
4162087,2832255
4162088,2754205
4162089,142492
4162090,2610791
4162091,2026907
4162092,253152
4162093,4188178
4162094,211402
4162095,3099552
4162096,87054
4162097,221906
4162098,201867
4162099,4003932
4162100,1880077
4162101,969923
4162102,702060
4162103,58890
4162104,2138657
4162105,4612468
4162106,2807354
4162107,983613
4162108,2753551
4162109,4987918
4162110,1521024
4162111,1834836
4162112,409878
4162113,1098042
4162114,4006013
4162115,2594715
4162116,5007081
4162117,1876707
4162118,2496211
4162119,1464116
4162120,900930
4162121,4084956
4162122,2678392
4162123,2445629
4162124,3141486
4162125,1780495
4162126,2436637
4162127,3415438
4162128,3795591
4162129,3978346
4162130,4421944
4162131,3947069
4162132,1016971
4162133,1179546
4162134,2036277
4162135,4358674
4162136,2451584
4162137,3039816
4162138,4242717
4162139,4011669
4162140,3969849
4162141,2700376
4162142,2454604
4162143,1009667
4162144,278173
4162145,3536601
4162146,4917079
4162147,334210
4162148,2250692
4162149,4469639
4162150,3891901
4162151,3837094
4162152,174239
4162153,3327468
4162154,542584
4162155,4151801
4162156,2440364
4162157,4814715
4162158,3645362
4162159,4862987
4162160,407215
4162161,1433425
4162162,472179
4162163,3654167
4162164,4458428
4162165,3099096
4162166,2627383
4162167,720666
4162168,2608820
4162169,665245
4162170,4595718
4162171,4901004
4162172,5079281
4162173,522951
4162174,1661651
4162175,1280595
4162176,2259748
4162177,3745602
4162178,4582259
4162179,5140212
4162180,1787284
4162181,2421866
4162182,2444955
4162183,4559222
4162184,1301428
4162185,3030639
4162186,2113224
4162187,2584074
4162188,478154
4162189,3070206
4162190,2258475
4162191,4007973
4162192,5026005
4162193,3959269
4162194,4625363
4162195,674009
4162196,4897779
4162197,4512632
4162198,841304
4162199,274067
4162200,1138765
4162201,1703828
4162202,4670159
4162203,2165262
4162204,941302
4162205,4768875
4162206,2325377
4162207,835003
4162208,1605267
4162209,4970836
4162210,4618862
4162211,420826
4162212,3942794
4162213,2183874
4162214,4495546
4162215,4734649
4162216,713958
4162217,2949136
4162218,991505
4162219,3551706
4162220,510435
4162221,834237
4162222,2716202
4162223,1211779
4162224,3003972
4162225,1449177
4162226,4466067
4162227,1729922
4162228,2313019
4162229,4176767
4162230,4210229
4162231,3287283
4162232,652587
4162233,3578385
4162234,1275696
4162235,1239603
4162236,4841781
4162237,185762
4162238,1162183
4162239,2643881
4162240,3674068
4162241,1349561
4162242,4307960
4162243,992573
4162244,1732828
4162245,256001
4162246,1693998
4162247,2241047
4162248,2749188
4162249,3974031
4162250,2346077
4162251,53656
4162252,4859530
4162253,2474048
4162254,5102377
4162255,1125802
4162256,2502302
4162257,2394030
4162258,3002561
4162259,1673289
4162260,1019845
4162261,1315415
4162262,5119781
4162263,4372804
4162264,2702039
4162265,4197505
4162266,445662
4162267,3089478
4162268,4462274
4162269,571253
4162270,4836950
4162271,1297167
4162272,2548556
4162273,2509783
4162274,1689624
4162275,2678652
4162276,3381799
4162277,2118435
4162278,3277224
4162279,4905451
4162280,1030192
4162281,1066563
4162282,1281603
4162283,286229
4162284,634104
4162285,369615
4162286,3735942
4162287,4091122
4162288,1901895
4162289,3472302
4162290,3997061
4162291,1542618
4162292,4912078
4162293,414708
4162294,3367946
4162295,928334
4162296,1211133
4162297,1604503
4162298,2547494
4162299,4881334
4162300,3028983
4162301,3004361
4162302,63813
4162303,3988258
4162304,1156021
4162305,2677611
4162306,4029277
4162307,4277481
4162308,1850715
4162309,2268637
4162310,460515
4162311,1729993
4162312,4569602
4162313,2614150
4162314,2496304
4162315,4173199
4162316,3765959
4162317,3149800
4162318,3577636
4162319,1168771
4162320,4281192
4162321,2964603
4162322,1321504
4162323,4135404
4162324,2578034
4162325,1363318
4162326,2899233
4162327,2467446
4162328,2413296
4162329,4484091
4162330,5001357
4162331,3524172
4162332,3401301
4162333,2540093
4162334,4632342
4162335,4563462
4162336,285669
4162337,1730376
4162338,1469622
4162339,4038480
4162340,1593276
4162341,1895940
4162342,2800021
4162343,577442
4162344,811456
4162345,786559
4162346,3242536
4162347,481876
4162348,2399798
4162349,2732141
4162350,3834955
4162351,5091553
4162352,3718071
4162353,4998889
4162354,553565
4162355,2914440
4162356,3628508
4162357,1642690
4162358,3126991
4162359,3229566
4162360,4477045
4162361,3315724
4162362,4991326
4162363,3808001
4162364,2579035
4162365,310700
4162366,2058468
4162367,2853993
4162368,3634741
4162369,2922530
4162370,2038530
4162371,2651305
4162372,1017550
4162373,4445129
4162374,2278498
4162375,1305432
4162376,614109
4162377,809709
4162378,4426917
4162379,2966303
4162380,910741
4162381,425574
4162382,3619237
4162383,3236541
4162384,2776159
4162385,2494458
4162386,3753684
4162387,4520126
4162388,4636796
4162389,3493502
4162390,3008531
4162391,204387
4162392,5034390
4162393,1023823
4162394,1725572
4162395,3409341
4162396,3340379
4162397,1747827
4162398,3224824
4162399,4690663
4162400,3291419
4162401,3896787
4162402,504058
4162403,1008611
4162404,3115954
4162405,739663
4162406,482114
4162407,1776686
4162408,3743261
4162409,4481193
4162410,2250828
4162411,2830440
4162412,4315564
4162413,1441395
4162414,1922064
4162415,1156571
4162416,3185579
4162417,249052
4162418,4598394
4162419,2278353
4162420,1374795
4162421,3273035
4162422,2214336
4162423,901528
4162424,2306491
4162425,1879194
4162426,459134
4162427,2782399
4162428,4258223
4162429,678291
4162430,294562
4162431,3437860
4162432,965809
4162433,1090746
4162434,4068075
4162435,547606
4162436,479163
4162437,583014
4162438,845370
4162439,1097635
4162440,2533979
4162441,4094201
4162442,3637176
4162443,2865017
4162444,3355674
4162445,3454970
4162446,4543704
4162447,4026780
4162448,2609658
4162449,3034257
4162450,3611944
4162451,2281301
4162452,1223020
4162453,815311
4162454,4690421
4162455,1616401
4162456,2187713
4162457,4837990
4162458,120033
4162459,2071435
4162460,3798628
4162461,1873646
4162462,201150
4162463,327414
4162464,2232467
4162465,1739706
4162466,4780793
4162467,1849958
4162468,4158268
4162469,450231
4162470,2313724
4162471,920269
4162472,381048
4162473,2422685
4162474,3610536
4162475,3554178
4162476,684953
4162477,2807309
4162478,1812506
4162479,1010656
4162480,4127459
4162481,3354040
4162482,4017084
4162483,4859698
4162484,2738312
4162485,4712571
4162486,4100250
4162487,578336
4162488,2490152
4162489,2453521
4162490,4875956
4162491,4166776
4162492,1189158
4162493,1978698
4162494,4588256
4162495,2513189
4162496,1345364
4162497,472273
4162498,1476223
4162499,4320339
4162500,1446405
4162501,4235673
4162502,2254846
4162503,981149
4162504,4385918
4162505,3388209
4162506,3209208
4162507,2089582
4162508,3207173
4162509,3757194
4162510,1415468
4162511,3385002
4162512,3845264
4162513,4362740
4162514,1248349
4162515,3350848
4162516,374823
4162517,4089254
4162518,3672452
4162519,4341596
4162520,4630561
4162521,1292812
4162522,941706
4162523,4425906
4162524,2767638
4162525,153544
4162526,4643586
4162527,863375
4162528,3677569
4162529,3306925
4162530,4503969
4162531,341636
4162532,481203
4162533,4160459
4162534,1499812
4162535,4764780
4162536,272572
4162537,1884810
4162538,3230581
4162539,1522202
4162540,1765288
4162541,1180493
4162542,4917341
4162543,2567848
4162544,1556629
4162545,115357
4162546,685842
4162547,1921030
4162548,1944515
4162549,384430
4162550,834876
4162551,1781126
4162552,1918853
4162553,3889118
4162554,2070852
4162555,3314621
4162556,2031230
4162557,2918955
4162558,3147850
4162559,4603741
4162560,4167958
4162561,998114
4162562,904454
4162563,3200651
4162564,3395036
4162565,4565874
4162566,2974240
4162567,3510979
4162568,81455
4162569,4214800
4162570,2807774
4162571,869764
4162572,2833224
4162573,845650
4162574,4756346
4162575,4987751
4162576,2642752
4162577,3229336
4162578,5110023
4162579,1464940
4162580,2429142
4162581,1276176
4162582,3831339
4162583,1751320
4162584,2238843
4162585,3566542
4162586,303593
4162587,1378332
4162588,4129924
4162589,1335754
4162590,2201943
4162591,3443560
4162592,3230409
4162593,4639422
4162594,3284512
4162595,2276883
4162596,4039014
4162597,2814273
4162598,2238082
4162599,3575962
4162600,334451
4162601,2988043
4162602,4730421
4162603,47317
4162604,158127
4162605,3675151
4162606,2560150
4162607,1965630
4162608,2314205
4162609,3300651
4162610,5129447
4162611,2323763
4162612,1432828
4162613,3595100
4162614,1710799
4162615,5146409
4162616,274483
4162617,4918438
4162618,1968315
4162619,634390
4162620,4374989
4162621,3574673
4162622,3726235
4162623,4358285
4162624,4706843
4162625,4291550
4162626,1536363
4162627,3108044
4162628,3772122
4162629,3054267
4162630,3550934
4162631,1040727
4162632,4641386
4162633,3053420
4162634,3879559
4162635,1106734
4162636,4970201
4162637,932821
4162638,3720993
4162639,3326223
4162640,992333
4162641,861353
4162642,3242912
4162643,1658716
4162644,1271170
4162645,3568566
4162646,280718
4162647,1988433
4162648,2602354
4162649,3342722
4162650,1206266
4162651,2641982
4162652,1007085
4162653,1532088
4162654,245030
4162655,4963533
4162656,470396
4162657,1823759
4162658,3706656
4162659,4100490
4162660,67918
4162661,4193511
4162662,7240
4162663,2469855
4162664,2243601
4162665,3906132
4162666,499049
4162667,25196
4162668,294640
4162669,1960765
4162670,532507
4162671,3729801
4162672,3882401
4162673,4694416
4162674,3700191
4162675,823629
4162676,4453737
4162677,1008362
4162678,2253689
4162679,235322
4162680,1357611
4162681,3128707
4162682,748392
4162683,4974254
4162684,4631602
4162685,4685810
4162686,2986368
4162687,2396030
4162688,4185664
4162689,1196541
4162690,3410245
4162691,3759918
4162692,3073794
4162693,3736936
4162694,4574216
4162695,1179411
4162696,2481784
4162697,3381217
4162698,1332361
4162699,1373144
4162700,1236638
4162701,4220950
4162702,1498138
4162703,2652344
4162704,128908
4162705,3147028
4162706,2738053
4162707,260476
4162708,3173741
4162709,4078249
4162710,2785575
4162711,4540581
4162712,827837
4162713,2787444
4162714,1044389
4162715,2413387
4162716,1947578
4162717,1505776
4162718,3331421
4162719,4699114
4162720,213372
4162721,1107469
4162722,4544118
4162723,3393775
4162724,455943
4162725,4737118
4162726,2978503
4162727,1502525
4162728,3470545
4162729,3537317
4162730,4372759
4162731,2690374
4162732,4576724
4162733,3600397
4162734,3622542
4162735,2201295
4162736,2627037
4162737,1038897
4162738,2891509
4162739,999755
4162740,3366905
4162741,2660189
4162742,603882
4162743,4607444
4162744,3796228
4162745,3282595
4162746,5135255
4162747,4248306
4162748,1726863
4162749,3545363
4162750,4993094
4162751,556352
4162752,2733586
4162753,3711867
4162754,1126754
4162755,3972128
4162756,3599138
4162757,3521896
4162758,3504022
4162759,2054454
4162760,2063273
4162761,3965224
4162762,802833
4162763,1317882
4162764,4501214
4162765,3891335
4162766,4944456
4162767,1884322
4162768,1508018
4162769,3669044
4162770,843337
4162771,2261645
4162772,1140902
4162773,3832749
4162774,1864286
4162775,4738143
4162776,4211850
4162777,255176
4162778,4130687
4162779,3346248
4162780,558076
4162781,4659129
4162782,1904657
4162783,2426100
4162784,3709974
4162785,2796753
4162786,4205429
4162787,5021817
4162788,2649368
4162789,1924702
4162790,1411976
4162791,3594090
4162792,598788
4162793,3041003
4162794,2091111
4162795,412619
4162796,880704
4162797,235118
4162798,4897866
4162799,2282908
4162800,3532737
4162801,3322346
4162802,949648
4162803,514953
4162804,1781370
4162805,4442223
4162806,1841388
4162807,4990616
4162808,756477
4162809,1280190
4162810,3393256
4162811,3654874
4162812,4969437
4162813,2025483
4162814,1396257
4162815,257571
4162816,4517665
4162817,170332
4162818,5063747
4162819,292885
4162820,1838064
4162821,4895678
4162822,4138583
4162823,3323023
4162824,2371279
4162825,349432
4162826,4078281
4162827,3645620
4162828,642223
4162829,4514910
4162830,4205666
4162831,1792505
4162832,2915692
4162833,4960901
4162834,1234048
4162835,1382934
4162836,571820
4162837,4764977
4162838,1846853
4162839,268040
4162840,3432434
4162841,2343140
4162842,362151
4162843,1751679
4162844,3552736
4162845,2194744
4162846,478754
4162847,807278
4162848,3881189
4162849,2017717
4162850,4639855
4162851,2567292
4162852,449431
4162853,1540741
4162854,1768615
4162855,1009182
4162856,3501758
4162857,1063364
4162858,1126526
4162859,50131
4162860,355025
4162861,3679635
4162862,3644171
4162863,3289575
4162864,477292
4162865,863609
4162866,2239317
4162867,4601757
4162868,1280248
4162869,1032791
4162870,738292
4162871,4707763
4162872,229607
4162873,3814016
4162874,1794065
4162875,923467
4162876,3478949
4162877,555560
4162878,4550394
4162879,3410573
4162880,389121
4162881,4871201
4162882,4427946
4162883,2101190
4162884,2685357
4162885,2332202
4162886,4235031
4162887,1618400
4162888,270397
4162889,2862512
4162890,3105682
4162891,3812942
4162892,3033798
4162893,916973
4162894,2289814
4162895,3471494
4162896,2735970
4162897,4395841
4162898,2810146
4162899,4802503
4162900,799586
4162901,3487664
4162902,4304858
4162903,454855
4162904,1597811
4162905,2301985
4162906,2994558
4162907,538041
4162908,3576283
4162909,3908625
4162910,3139855
4162911,858756
4162912,2141878
4162913,3719518
4162914,1731549
4162915,2548944
4162916,621786
4162917,2978598
4162918,5076053
4162919,1665989
4162920,1813868
4162921,1866473
4162922,2195789
4162923,4975993
4162924,4124908
4162925,3695506
4162926,4260993
4162927,2483206
4162928,79451
4162929,1943877
4162930,596086
4162931,3368567
4162932,1485951
4162933,3024544
4162934,1130080
4162935,4019270
4162936,2867510
4162937,3469361
4162938,1480207
4162939,3596030
4162940,452570
4162941,4907
4162942,232949
4162943,3440243
4162944,3969404
4162945,95456
4162946,2794883
4162947,3950342
4162948,1142751
4162949,5073790
4162950,1305897
4162951,647611
4162952,3729292
4162953,2783282
4162954,105137
4162955,2363898
4162956,5088091
4162957,3158512
4162958,985237
4162959,2208799
4162960,53004
4162961,228823
4162962,334161
4162963,1382333
4162964,166971
4162965,2280400
4162966,4883014
4162967,4009025
4162968,2281648
4162969,1462446
4162970,1352442
4162971,573068
4162972,3737607
4162973,4339360
4162974,3985596
4162975,4365013
4162976,258240
4162977,3600970
4162978,4904862
4162979,372542
4162980,2662378
4162981,2863168
4162982,4243089
4162983,4236628
4162984,3608615
4162985,5148857
4162986,3754679
4162987,1487591
4162988,2440115
4162989,5107988
4162990,3399506
4162991,2156574
4162992,3300413
4162993,3143462
4162994,1177618
4162995,4854514
4162996,376030
4162997,2976589
4162998,3860080
4162999,651666
4163000,2073339
4163001,2433733
4163002,4411052
4163003,355704
4163004,1468785
4163005,4170419
4163006,2673674
4163007,613491
4163008,5085754
4163009,4390513
4163010,3598912
4163011,1073699
4163012,5109144
4163013,3060316
4163014,2899861
4163015,120493
4163016,4407385
4163017,4269159
4163018,1888919
4163019,994002
4163020,3825580
4163021,3778921
4163022,182615
4163023,2693696
4163024,1814622
4163025,3115091
4163026,964432
4163027,1113655
4163028,2575132
4163029,603655
4163030,3349574
4163031,4441627
4163032,378466
4163033,3032062
4163034,719678
4163035,2213736
4163036,708574
4163037,4301852
4163038,3309245
4163039,3641399
4163040,1652543
4163041,1496373
4163042,5106609
4163043,1171922
4163044,5038211
4163045,1639557
4163046,5036985
4163047,299355
4163048,1325026
4163049,4606579
4163050,84994
4163051,388942
4163052,7963
4163053,4725540
4163054,237602
4163055,1998227
4163056,303690
4163057,2019855
4163058,4774660
4163059,1742197
4163060,5093036
4163061,4188413
4163062,2034521
4163063,2225310
4163064,1386176
4163065,2508762
4163066,4192522
4163067,2589085
4163068,3618523
4163069,2476560
4163070,801535
4163071,1851156
4163072,2049879
4163073,2433755
4163074,2927057
4163075,4603712
4163076,2203649
4163077,1413753
4163078,3313795
4163079,4138061
4163080,3422966
4163081,3294090
4163082,3112312
4163083,3101160
4163084,2642595
4163085,1526484
4163086,4368912
4163087,1500468
4163088,2139819
4163089,1079916
4163090,3225747
4163091,4864746
4163092,2578096
4163093,2485713
4163094,3654847
4163095,5036062
4163096,2411901
4163097,3720155
4163098,302746
4163099,4850823
4163100,1579789
4163101,2695277
4163102,2812993
4163103,3920794
4163104,3975755
4163105,2556321
4163106,1561839
4163107,542908
4163108,484957
4163109,4318499
4163110,2319813
4163111,2152016
4163112,1183755
4163113,815321
4163114,5138000
4163115,4434812
4163116,217383
4163117,3338209
4163118,1458292
4163119,3125596
4163120,4912031
4163121,848089
4163122,5120683
4163123,4577878
4163124,3105892
4163125,3849096
4163126,4908381
4163127,1430822
4163128,2446660
4163129,4228623
4163130,561327
4163131,2338864
4163132,3996509
4163133,1225824
4163134,1716161
4163135,907178
4163136,1314215
4163137,4292570
4163138,3417047
4163139,3504528
4163140,3877257
4163141,4271180
4163142,1819175
4163143,3435808
4163144,4752329
4163145,4026622
4163146,1526654
4163147,3860708
4163148,387302
4163149,232110
4163150,1703906
4163151,1862237
4163152,4278744
4163153,3852264
4163154,4380796
4163155,1816347
4163156,1987882
4163157,605687
4163158,2358943
4163159,687827
4163160,2533566
4163161,2370826
4163162,4226833
4163163,5144469
4163164,2174336
4163165,1935459
4163166,4919077
4163167,2110262
4163168,564928
4163169,3381583
4163170,2319794
4163171,703717
4163172,3783993
4163173,3667321
4163174,1516409
4163175,4300418
4163176,5003604
4163177,4534810
4163178,1173453
4163179,2431497
4163180,2481133
4163181,2465336
4163182,3319273
4163183,1702673
4163184,523181
4163185,4855707
4163186,4694794
4163187,3263418
4163188,29244
4163189,4476428
4163190,2817286
4163191,199436
4163192,741888
4163193,1916098
4163194,3137462
4163195,2313309
4163196,2921059
4163197,351048
4163198,4083839
4163199,2794490
4163200,2848615
4163201,1852398
4163202,3257496
4163203,4081518
4163204,3303502
4163205,3305842
4163206,4924786
4163207,1089105
4163208,665347
4163209,1728826
4163210,3820684
4163211,1104822
4163212,2791234
4163213,2751159
4163214,539671
4163215,1677323
4163216,605237
4163217,571540
4163218,4611562
4163219,236839
4163220,3911423
4163221,4830705
4163222,658306
4163223,2917289
4163224,3172967
4163225,1905278
4163226,208658
4163227,2153472
4163228,1992942
4163229,2376274
4163230,2952458
4163231,435088
4163232,4077585
4163233,1232140
4163234,3509084
4163235,4733516
4163236,4892060
4163237,4274907
4163238,1534064
4163239,2393050
4163240,1031083
4163241,3203597
4163242,896773
4163243,624129
4163244,5016461
4163245,1315884
4163246,101979
4163247,3702593
4163248,4760804
4163249,1695915
4163250,4221401
4163251,1260343
4163252,1465060
4163253,2656008
4163254,3189162
4163255,2143477
4163256,4595135
4163257,27355
4163258,1059450
4163259,2505953
4163260,79592
4163261,2670778
4163262,3727100
4163263,1090997
4163264,2002445
4163265,2502536
4163266,2277896
4163267,1127791
4163268,851937
4163269,4864926
4163270,4928445
4163271,4328342
4163272,2141039
4163273,3324678
4163274,2217187
4163275,2647375
4163276,2626154
4163277,4372382
4163278,58498
4163279,2461392
4163280,3092897
4163281,2889935
4163282,3528744
4163283,3616186
4163284,1590884
4163285,1264586
4163286,1594549
4163287,1410963
4163288,346135
4163289,1648046
4163290,4550135
4163291,1575700
4163292,4928847
4163293,1791760
4163294,1429156
4163295,4867407
4163296,2042400
4163297,4220654
4163298,4032007
4163299,380890
4163300,581695
4163301,2988664
4163302,662603
4163303,1554684
4163304,344841
4163305,1646378
4163306,4874089
4163307,1580904
4163308,1486580
4163309,3413103
4163310,4301074
4163311,2326035
4163312,571588
4163313,582243
4163314,167552
4163315,1602099
4163316,3311272
4163317,1694669
4163318,2178633
4163319,2494401
4163320,977169
4163321,1917444
4163322,1353829
4163323,4149628
4163324,2553450
4163325,2629787
4163326,703487
4163327,384755
4163328,3543230
4163329,5142197
4163330,116547
4163331,2667674
4163332,1424389
4163333,380055
4163334,4534846
4163335,3091719
4163336,3549297
4163337,1952350
4163338,491521
4163339,4321228
4163340,1643094
4163341,4593051
4163342,4814210
4163343,861112
4163344,832330
4163345,285203
4163346,4387956
4163347,4453116
4163348,984238
4163349,3659251
4163350,1962983
4163351,2287226
4163352,4412497
4163353,4299646
4163354,3292675
4163355,422656
4163356,4215937
4163357,4139726
4163358,280975
4163359,3351813
4163360,3234738
4163361,4627431
4163362,1034030
4163363,3609849
4163364,3717793
4163365,2860698
4163366,162197
4163367,3126591
4163368,3970882
4163369,1691699
4163370,1993439
4163371,305253
4163372,3980291
4163373,4583884
4163374,4122623
4163375,2842504
4163376,956971
4163377,395319
4163378,3498723
4163379,3681810
4163380,2724501
4163381,888094
4163382,4251327
4163383,3430716
4163384,5115570
4163385,4525249
4163386,3208959
4163387,2236017
4163388,1807171
4163389,1792919
4163390,3392099
4163391,4477551
4163392,1900206
4163393,2116151
4163394,4631356
4163395,1016910
4163396,3506316
4163397,1264320
4163398,1212101
4163399,1735195
4163400,3006524
4163401,154292
4163402,2092246
4163403,1740027
4163404,2415168
4163405,2970693
4163406,4210266
4163407,2312170
4163408,4371341
4163409,5076917
4163410,837488
4163411,1978445
4163412,1527667
4163413,2577860
4163414,4876006
4163415,2301954
4163416,1793313
4163417,2612661
4163418,3234800
4163419,5004494
4163420,4924053
4163421,4376524
4163422,4814620
4163423,4174407
4163424,749585
4163425,2216140
4163426,4793442
4163427,4219563
4163428,4517019
4163429,1481335
4163430,2698327
4163431,2949858
4163432,48328
4163433,1921429
4163434,2582254
4163435,4603467
